
SunOS server_sol5.10 5.10 Generic_148888-05 sun4v    07/17/2019

00:00:00    %usr    %sys    %wio   %idle
02:40:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              7     0.1      63    1302     0.0     1.8
           vdc1              1     0.1       6     113     0.0    12.0
           vdc2              5     0.1      43     821     0.0     2.9
           vdc3              0     0.0       4      73     0.0     3.3
           vdc4             41     1.0     343    1478     0.0     2.9

02:45:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0             22     0.6      88    2013     0.0     7.1
           vdc1              0     0.0       5     134     0.0     3.5
           vdc2             19     0.7     157    1982     0.0     4.5
           vdc3              6     0.1      20     191     0.0     5.9
           vdc4             10     0.3     118    1958     0.0     3.0

02:50:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              2     0.0      10     870     0.0     4.9
           vdc1              0     0.0       4      95     0.0     5.2
           vdc2              0     0.0       9     559     0.0     3.6
           vdc3             48     1.0     206     952     0.0     5.0
           vdc4              2     0.2      10     751     0.0    19.9

02:55:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0             11     0.3      56    1021     0.0     6.0
           vdc1              1     0.1       4      72     0.0    18.2
           vdc2              1     0.1       8     426     0.0    11.1
           vdc3             39     0.6     116     688     0.0     5.0
           vdc4              2     0.2       9     602     0.0    21.7

03:00:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0             32     0.7     235    3963     0.0     3.1
           vdc1              1     0.0       5      59     0.0     7.2
           vdc2             16     0.3      96     689     0.0     3.5
           vdc3              1     0.1      10     927     0.0     9.9
           vdc4              5     0.3      31     723     0.0     8.7

03:05:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              1     0.1      10     851     0.0     8.6
           vdc1              1     0.1       4      58     0.0    25.0
           vdc2             47     0.8     172     918     0.0     4.9
           vdc3              2     0.1       8     618     0.0    16.5
           vdc4              3     0.2       6     377     0.0    36.8

03:10:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              4     0.3      12     925     0.0    21.9
           vdc1              0     0.0       3      40     0.0     9.0
           vdc2             46     1.2     187    1630     0.0     6.3
           vdc3              2     0.2       6     414     0.0    27.0
           vdc4              2     0.2       4     234     0.0    36.9

03:15:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              3     0.2       8     601     0.0    28.9
           vdc1              0     0.0       0       1     0.0     8.0
           vdc2             47     0.9     160    1341     0.0     5.8
           vdc3              1     0.1       5     245     0.0    16.5
           vdc4              1     0.0       3     100     0.0    14.4

03:20:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              1     0.0      11    1185     0.0     4.2
           vdc1              0     0.0       2      22     0.0     2.2
           vdc2             26     0.9     142    4984     0.0     6.2
           vdc3              8     0.3      62    1783     0.0     4.5
           vdc4              7     0.6      24    1641     0.0    25.5

03:25:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              8     0.2      36    1102     0.0     5.6
           vdc1              1     0.0       6     224     0.0     4.6
           vdc2             14     0.7     114    4214     0.0     5.9
           vdc3              2     0.1       7     524     0.0     7.7
           vdc4              4     0.2      37     608     0.0     5.2

03:30:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       6     261     0.0     2.4
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       1       4     0.0     4.1
           vdc3              0     0.0       0       0     0.0     6.4
           vdc4              0     0.0       0       0     0.0     0.0

03:35:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              2     0.1       9    1013     0.0    14.5
           vdc1              0     0.0       1      13     0.0     2.0
           vdc2              0     0.0       0       1     0.0     6.1
           vdc3              0     0.0       0       0     0.0     6.5
           vdc4              0     0.0       0       0     0.0     0.0

03:40:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              4     0.3      42    1461     0.0     6.6
           vdc1              1     0.1       5     313     0.0    15.4
           vdc2              8     0.3      61    1694     0.0     4.2
           vdc3              6     0.1      32     212     0.0     3.3
           vdc4             27     0.6     245    1852     0.0     2.3

03:45:01   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              8     0.5     128    1773     0.0     4.3
           vdc1              0     0.0       4      97     0.0     2.3
           vdc2              1     0.0       9     606     0.0     2.6
           vdc3             36     0.5     222    1209     0.0     2.2
           vdc4              3     0.2      17    1274     0.0    11.5

03:50:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              1     0.1      11    1155     0.0     5.5
           vdc1              0     0.0       3      33     0.0     1.3
           vdc2             44     0.6     270    1348     0.0     2.4
           vdc3              1     0.0      10    1036     0.0     3.6
           vdc4              1     0.1       6     463     0.0     8.1

03:55:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              1     0.1      11     816     0.0     5.1
           vdc1              0     0.0       2      32     0.0     1.7
           vdc2             46     0.6     257    2066     0.0     2.3
           vdc3              0     0.0       6     403     0.0     4.8
           vdc4              0     0.0       4     155     0.0     8.2

04:00:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0             14     0.2     121    1736     0.0     1.7
           vdc1              0     0.0       0       1     0.0     2.2
           vdc2              1     0.1      16    1378     0.0     3.2
           vdc3              0     0.0       2     127     0.0     3.4
           vdc4              0     0.0       2      46     0.0     1.4

04:05:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       4     106     0.0     1.6
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
           vdc3              0     0.0       0       0     0.0     0.0
           vdc4              0     0.0       0       0     0.0     0.0

04:10:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       6     251     0.0     3.3
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
           vdc3              0     0.0       0       0     0.0     0.0
           vdc4              0     0.0       0       0     0.0     0.0

04:15:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       4     108     0.0     3.8
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
           vdc3              0     0.0       0       0     0.0     0.0
           vdc4              0     0.0       0       0     0.0     0.0

04:20:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       5     110     0.0     2.3
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
           vdc3              0     0.0       0       0     0.0     0.0
           vdc4              0     0.0       0       0     0.0     0.0

04:25:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       5     112     0.0     1.5
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
           vdc3              0     0.0       0       0     0.0     0.0
           vdc4              0     0.0       0       0     0.0     0.0

04:30:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       6     280     0.0     2.1
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
           vdc3              0     0.0       0       0     0.0     0.0
           vdc4              0     0.0       0       0     0.0     0.0

04:35:00   nfs1              0     0.0       0       0     0.0     0.0
           nfs5              0     0.0       0       0     0.0     0.0
           vdc0              0     0.0       5     148     0.0     1.8
           vdc1              0     0.0       0       0     0.0     0.0
           vdc2              0     0.0       0       0     0.0     0.0
