Linux 4.15.0-74-generic (server_ubuntu18.04) 	01/18/2020 	_x86_64_	(2 CPU)

17:34:39     LINUX RESTART	(2 CPU)

05:35:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:25:01 PM    211740   1718120   3729128     94.63    160768   1486300   3373216     85.60   3056712    462688       224   1872316    155972      4304     18236         0
06:35:01 PM    164436   1671612   3776432     95.83    160852   1486956   3417000     86.71   3102660    463048       464   1917904    156052      4352     19168         0
06:45:01 PM    317008   1825368   3623860     91.96    160984   1489692   3247544     82.41   2948952    464452       684   1762740    156160      4328     18476         0
06:55:01 PM    317844   1826680   3623024     91.93    161084   1490076   3239360     82.20   2949276    464636       356   1762736    156100      4256     17932         0
07:05:01 PM    311224   1820920   3629644     92.10    161176   1490812   3248144     82.42   2953028    465072       340   1766112    156348      4420     19072         0
07:15:01 PM    249848   1761536   3691020     93.66    161248   1492636   3250532     82.48   3016924    463704       404   1826808    156868      4284     17996         0
07:25:01 PM    244912   1757108   3695956     93.79    161308   1493104   3257264     82.65   3019740    463892       268   1829232    157332      4364     19328         0
07:35:01 PM    239612   1752564   3701256     93.92    161380   1493744   3263160     82.80   3023640    464296       508   1832832    157404      4428     19936         0
07:45:01 PM    240980   1754316   3699888     93.89    161428   1494092   3268124     82.93   3023060    464368       368   1831904    157132      4452     19872         0
07:55:01 PM    246052   1760068   3694816     93.76    161536   1494672   3253400     82.56   3019340    464492       532   1827716    156828      4320     18720         0
08:05:01 PM    232272   1751524   3708596     94.11    161588   1496268   3265084     82.85   3027252    468504       304   1837892    157136      4400     19880         0
08:15:01 PM    231988   1751960   3708880     94.11    161660   1496844   3279456     83.22   3029704    468544       324   1839756    156944      4348     18420         0
08:25:02 PM    434280   1669472   3506588     88.98    160740   1215868   3369888     85.51   2930932    369012       120   1923396    151924      4372     18956         0
08:35:01 PM    451844   1688644   3489024     88.53    160920   1217296   3357704     85.20   2909712    370252      1184   1901772    152416      4524     20568         0
08:45:01 PM    442016   1694424   3498852     88.78    161060   1232516   3350916     85.03   2911596    377680       960   1895712    153000      4532     20200         0
08:55:01 PM    443740   1696604   3497128     88.74    161116   1232920   3343128     84.83   2923076    368144       380   1897192    152256      4368     18504         0
09:05:01 PM    408912   1662356   3531956     89.62    161208   1233368   3385404     85.91   2955576    368296       416   1929308    152716      4444     19872         0
09:15:01 PM    465384   1720132   3475484     88.19    161268   1234612   3307620     83.93   2898936    369248       424   1872324    152536      4396     19164         0
09:25:01 PM    462232   1717544   3478636     88.27    161324   1235080   3307064     83.92   2901160    369536       188   1874256    152928      4380     19644         0
09:35:01 PM    487460   1743484   3453408     87.63    161352   1235804   3276312     83.14   2876436    370056       388   1849400    152612      4288     18864         0
09:45:01 PM    485088   1741792   3455780     87.69    161376   1236444   3283664     83.32   2877912    370472       580   1850576    152332      4388     19116         0
09:55:01 PM    495236   1752520   3445632     87.43    161432   1236996   3265396     82.86   2868652    370776       236   1841012    152348      4256     18564         0
10:05:01 PM    482980   1740896   3457888     87.74    161480   1237568   3287896     83.43   2878780    371156       444   1850852    152348      4444     20120         0
10:15:01 PM    499776   1758044   3441092     87.32    161528   1237856   3264364     82.83   2864924    371264       324   1836856    152056      4236     17712         0
10:25:01 PM    499120   1757824   3441748     87.33    161556   1238236   3261400     82.76   2864404    371496       312   1836120    152404      4284     18236         0
